h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,time
-4.565292,-7.215906,-7.215906,5.404390,-6.732798,-6.732798,0.013985,-0.232478,-0.232478,0.006992,-0.116239,-0.116239,-0.152176,-0.240530,0.970220,0.180146,-0.224427,1.006197,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013985,-0.232478,-0.232478,0.013985,-0.232478,-0.232478,-0.152176,-0.240530,0.970220,0.180146,-0.224427,1.006197,1
-0.002806,-0.026216,-0.026216,0.001550,-0.001427,-0.001427,0.013964,-0.232939,-0.232939,0.013974,-0.232709,-0.232709,-0.152270,-0.241404,0.970746,0.180198,-0.224474,1.005077,2
-0.001312,-0.021731,-0.021731,0.004427,0.007807,0.007807,0.014016,-0.233171,-0.233171,0.013990,-0.233055,-0.233055,-0.152314,-0.242128,0.971176,0.180346,-0.224214,1.003604,3
-0.000924,-0.011266,-0.011266,0.003664,0.007137,0.007137,0.014062,-0.233240,-0.233240,0.014039,-0.233206,-0.233206,-0.152344,-0.242504,0.971528,0.180468,-0.223976,1.002399,4
0.005330,-0.014078,-0.014078,0.001652,0.005434,0.005434,0.014178,-0.233384,-0.233384,0.014120,-0.233312,-0.233312,-0.152167,-0.242973,0.971817,0.180523,-0.223795,1.001412,5
0.002775,-0.012354,-0.012354,0.004556,0.006122,0.006122,0.014300,-0.233488,-0.233488,0.014239,-0.233436,-0.233436,-0.152074,-0.243385,0.972053,0.180675,-0.223591,1.000604,6
0.004273,-0.014920,-0.014920,0.000659,-0.001588,-0.001588,0.014382,-0.233763,-0.233763,0.014341,-0.233626,-0.233626,-0.151932,-0.243882,0.972246,0.180697,-0.223644,0.999943,7
-0.000624,-0.006873,-0.006873,-0.001214,0.003927,0.003927,0.014352,-0.233812,-0.233812,0.014367,-0.233788,-0.233788,-0.151953,-0.244111,0.972404,0.180656,-0.223513,0.999401,8
-0.003438,-0.006252,-0.006252,0.004842,0.004607,0.004607,0.014375,-0.233840,-0.233840,0.014363,-0.233826,-0.233826,-0.152067,-0.244320,0.972534,0.180818,-0.223359,0.999513,9
-0.001687,-0.007973,-0.007973,-0.000988,0.002778,0.002778,0.014331,-0.233926,-0.233926,0.014353,-0.233883,-0.233883,-0.152123,-0.244586,0.972640,0.180785,-0.223267,0.999049,10
-0.006589,-0.009694,-0.009694,0.001151,-0.002712,-0.002712,0.014240,-0.234133,-0.234133,0.014285,-0.234030,-0.234030,-0.152343,-0.244909,0.973256,0.180823,-0.223357,0.999224,11
