h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,time
-0.000002,0.000000,-0.000007,-0.000001,0.000000,-0.000014,0.031580,-0.048259,1.080778,0.947387,-1.447759,32.423351,-0.250730,-0.043541,1.044945,0.313889,-0.052976,1.116612,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031580,-0.048259,1.080778,0.000000,0.000000,0.000000,-0.250730,-0.043541,1.044945,0.313889,-0.052976,1.116612,1
0.124736,-0.220252,-0.142236,-0.034581,-0.111908,-0.020750,0.033082,-0.053795,1.078062,0.045078,-0.166080,-0.081489,-0.246572,-0.050883,1.040204,0.312737,-0.056706,1.115920,2
0.196927,-0.476730,-0.133731,-0.065654,-0.293965,-0.016991,0.035270,-0.066640,1.075550,0.065637,-0.385347,-0.075363,-0.240008,-0.066774,1.035746,0.310548,-0.066505,1.115354,3
0.246260,-0.522134,-0.109491,-0.090275,-0.342362,-0.034518,0.037870,-0.081048,1.073150,0.077993,-0.432248,-0.072005,-0.231800,-0.084178,1.032096,0.307539,-0.077917,1.114203,4
0.328815,-0.598581,-0.072362,-0.146539,-0.473469,-0.129250,0.040908,-0.098915,1.069790,0.091138,-0.536025,-0.100805,-0.220839,-0.104131,1.029684,0.302654,-0.093699,1.109895,5
0.320445,-0.574548,-0.059248,-0.166488,-0.490794,-0.145265,0.043474,-0.116671,1.066381,0.076979,-0.532671,-0.102260,-0.210158,-0.123283,1.027709,0.297105,-0.110059,1.105053,6
0.321309,-0.557907,-0.048505,-0.180803,-0.482385,-0.118940,0.045815,-0.134009,1.063590,0.070253,-0.520146,-0.083721,-0.199447,-0.141880,1.026093,0.291078,-0.126139,1.101088,7
0.308559,-0.539955,-0.039718,-0.207734,-0.503105,-0.097375,0.047496,-0.151394,1.061305,0.050412,-0.521530,-0.068547,-0.189162,-0.159878,1.024769,0.284154,-0.142909,1.097842,8
0.306884,-0.546892,-0.049796,-0.258198,-0.537402,-0.079726,0.048307,-0.169465,1.059147,0.024343,-0.542147,-0.064763,-0.178932,-0.178108,1.023109,0.275547,-0.160822,1.095185,9
