h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,time
0.000001,0.000000,-0.000005,-0.000002,0.000001,-0.000007,0.057556,-0.217154,0.998673,-2.703372,-0.185834,-0.206716,-0.122669,-0.229543,0.984893,0.237781,-0.204765,1.012454,-0.000001,-0.000001,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057556,-0.217154,0.998673,0.000000,0.000000,0.000000,-0.122669,-0.229543,0.984893,0.237781,-0.204765,1.012454,-0.000000,-0.000000,1
0.002209,-0.004274,0.000000,-0.001543,0.006246,0.000000,0.057567,-0.217121,0.998673,0.000333,0.000986,0.000000,-0.122595,-0.229686,0.984893,0.237729,-0.204557,1.012454,-0.001901,-0.001901,2
-0.003209,-0.007352,0.016247,-0.017682,-0.000654,0.000000,0.057219,-0.217255,0.998944,-0.010446,-0.004003,0.008122,-0.122702,-0.229931,0.985434,0.237140,-0.204579,1.012454,0.002493,0.002493,3
0.002860,-0.006254,0.013306,-0.014952,0.009565,-0.017066,0.057017,-0.217200,0.998881,-0.006046,0.001655,-0.001879,-0.122607,-0.230139,0.985878,0.236641,-0.204260,1.011885,-0.003355,-0.003355,4
0.003083,-0.003300,0.010892,-0.016188,0.001479,-0.013976,0.056799,-0.217230,0.998830,-0.006552,-0.000911,-0.001543,-0.122504,-0.230249,0.986241,0.236102,-0.204211,1.011419,-0.003590,-0.003590,5
0.003624,-0.004096,0.008917,-0.015371,-0.006212,-0.011437,0.056603,-0.217402,0.998788,-0.005873,-0.005154,-0.001259,-0.122383,-0.230386,0.986538,0.235589,-0.204418,1.011038,-0.003918,-0.003918,6
-0.001709,-0.004013,0.007301,-0.011787,0.001266,-0.009366,0.056378,-0.217448,0.998754,-0.006748,-0.001373,-0.001034,-0.122440,-0.230520,0.986781,0.235196,-0.204376,1.010726,0.001506,0.001506,7
0.003655,-0.001220,0.005978,-0.009381,0.000390,-0.007671,0.056283,-0.217461,0.998725,-0.002863,-0.000415,-0.000846,-0.122318,-0.230560,0.986981,0.234884,-0.204363,1.010470,-0.003940,-0.003940,8
0.002797,0.000532,0.004892,-0.006543,0.006832,-0.006276,0.056220,-0.217339,0.998702,-0.001873,0.003682,-0.000692,-0.122225,-0.230543,0.987144,0.234666,-0.204135,1.010261,-0.003138,-0.003138,9
-0.001338,0.006461,0.004007,-0.008180,0.004034,-0.005139,0.056062,-0.217164,0.998683,-0.004759,0.005248,-0.000565,-0.122270,-0.230327,0.987277,0.234393,-0.204000,1.010090,0.000602,0.000602,10
0.002499,0.007672,-0.012968,-0.002689,0.005099,-0.004209,0.056058,-0.216951,0.998397,-0.000095,0.006385,-0.008590,-0.122186,-0.230072,0.986845,0.234303,-0.203830,1.009949,-0.002213,-0.002213,11
0.005272,-0.002226,-0.010616,-0.001845,0.010480,-0.003448,0.056116,-0.216813,0.998163,0.001713,0.004127,-0.007031,-0.122011,-0.230146,0.986491,0.234242,-0.203481,1.009834,-0.004388,-0.004388,12
-0.000253,0.003023,0.007553,-0.009339,0.006916,-0.002822,0.055956,-0.216648,0.998242,-0.004796,0.004970,0.002366,-0.122019,-0.230045,0.986743,0.233931,-0.203251,1.009740,-0.000460,-0.000460,13
