h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,hand_distance,time
-0.021193,0.000315,0.039815,-0.066866,-0.049216,0.006377,0.032115,-0.156543,1.083319,-0.044030,-0.024451,0.023096,-0.237084,-0.170735,1.080802,0.301315,-0.142351,1.085837,0.020775,0.069301,0.539170,251
-0.024310,0.007788,0.032612,-0.091255,-0.059535,-0.014437,0.030189,-0.157405,1.083622,-0.057782,-0.025873,0.009091,-0.237894,-0.170475,1.081889,0.298273,-0.144335,1.085355,0.023691,0.094137,0.536816,252
-0.019226,0.005267,0.026690,-0.127735,-0.071704,0.007839,0.027740,-0.158512,1.084198,-0.073480,-0.033218,0.017263,-0.238535,-0.170299,1.082779,0.294015,-0.146725,1.085617,0.018832,0.130737,0.533080,253
0.012968,0.013398,0.002182,-0.175531,-0.091623,-0.071443,0.025031,-0.159816,1.083043,-0.081281,-0.039112,-0.034629,-0.238103,-0.169853,1.082851,0.288164,-0.149780,1.083235,-0.013471,0.178948,0.526650,254
0.104768,0.050756,-0.075542,-0.271869,-0.085575,-0.077637,0.022246,-0.160397,1.080490,-0.083550,-0.017409,-0.076590,-0.234611,-0.168161,1.080333,0.279102,-0.152632,1.080647,-0.106208,0.274378,0.513948,255
0.252044,0.124898,-0.155740,-0.387509,-0.066908,-0.194156,0.019988,-0.159430,1.074659,-0.067732,0.028995,-0.174952,-0.226209,-0.163998,1.075142,0.266185,-0.154862,1.074175,-0.254622,0.388301,0.492480,256
0.424722,0.060669,-0.182394,-0.504225,-0.024228,-0.195193,0.018663,-0.158823,1.068366,-0.039752,0.018221,-0.188792,-0.212052,-0.161975,1.069062,0.249378,-0.155670,1.067669,-0.426060,0.503917,0.461475,257
0.552369,0.031188,-0.057249,-0.581753,0.010277,-0.159817,0.018173,-0.158132,1.064748,-0.014692,0.020733,-0.108533,-0.193640,-0.160936,1.067154,0.229986,-0.155327,1.062342,-0.553348,0.579713,0.423690,258
0.517327,0.072303,0.009806,-0.559273,0.024457,-0.057893,0.017474,-0.156519,1.063946,-0.020973,0.048379,-0.024043,-0.176395,-0.158526,1.067481,0.211343,-0.154512,1.060412,-0.517783,0.557842,0.387824,259
0.431599,0.051715,0.008025,-0.476979,0.033405,-0.028875,0.016718,-0.155100,1.063599,-0.022690,0.042560,-0.010425,-0.162009,-0.156802,1.067748,0.195444,-0.153399,1.059449,-0.431769,0.475841,0.357565,260
0.356530,0.043020,-0.012442,-0.390784,0.048337,-0.060582,0.016147,-0.153578,1.062382,-0.017127,0.045678,-0.036514,-0.150124,-0.155368,1.067334,0.182418,-0.151787,1.057430,-0.357185,0.388265,0.332709,261
0.290794,0.026708,-0.010185,-0.328776,0.098470,0.024780,0.015514,-0.151491,1.062625,-0.018991,0.062589,0.007299,-0.140431,-0.154478,1.066994,0.171459,-0.148505,1.058256,-0.291423,0.327396,0.312070,262
0.239274,0.034204,-0.008336,-0.267942,0.059261,-0.035691,0.015036,-0.149934,1.061891,-0.014334,0.046733,-0.022012,-0.132455,-0.153337,1.066716,0.162527,-0.146530,1.057066,-0.240143,0.265195,0.295219,263
0.195422,0.032132,-0.006827,-0.234255,0.099152,0.007982,0.014389,-0.147746,1.061911,-0.019416,0.065642,0.000576,-0.125941,-0.152266,1.066489,0.154719,-0.143225,1.057332,-0.196474,0.231078,0.280955,264
0.156977,0.008537,-0.005590,-0.187211,0.044923,-0.012124,0.013885,-0.146855,1.061615,-0.015117,0.026730,-0.008858,-0.120709,-0.151982,1.066302,0.148479,-0.141727,1.056928,-0.157287,0.184831,0.269546,265
0.106956,0.042920,-0.060897,-0.165240,0.021431,0.008726,0.012913,-0.145782,1.060746,-0.029142,0.032175,-0.026085,-0.117144,-0.150551,1.064272,0.142971,-0.141013,1.057219,-0.110067,0.164519,0.260385,266
0.080035,-0.002572,-0.031210,-0.146351,0.013392,0.007145,0.011808,-0.145602,1.060345,-0.033158,0.005410,-0.012031,-0.114476,-0.150637,1.063232,0.138092,-0.140566,1.057457,-0.080561,0.145826,0.252835,267
0.050182,0.005782,-0.025556,-0.118898,0.004634,0.005844,0.010663,-0.145428,1.060016,-0.034358,0.005207,-0.009856,-0.112803,-0.150444,1.062380,0.134129,-0.140412,1.057652,-0.050855,0.118702,0.247181,268
0.036182,0.006811,-0.020925,-0.111615,0.008855,0.042461,0.009406,-0.145167,1.060375,-0.037716,0.007833,0.010768,-0.111597,-0.150217,1.061683,0.130408,-0.140117,1.059067,-0.036659,0.111600,0.242230,269
0.017985,0.023112,-0.017123,-0.104219,-0.001339,0.034769,0.007968,-0.144804,1.060669,-0.043117,0.010887,0.008823,-0.110997,-0.149447,1.061112,0.126934,-0.140161,1.060226,-0.018936,0.104321,0.238115,270
0.008888,0.003357,-0.051212,-0.095582,-0.003832,0.009563,0.006524,-0.144812,1.059975,-0.043347,-0.000237,-0.020825,-0.110701,-0.149335,1.059405,0.123748,-0.140289,1.060545,-0.008762,0.095611,0.234627,271
0.009355,0.014504,-0.023389,-0.081065,0.002701,0.007828,0.005328,-0.144525,1.059716,-0.035855,0.008603,-0.007778,-0.110389,-0.148851,1.058625,0.121046,-0.140199,1.060806,-0.009669,0.080830,0.231608,272
0.009355,0.014504,-0.023389,-0.081065,0.002701,0.007828,0.005328,-0.144525,1.059716,-0.035855,0.008603,-0.007778,-0.110389,-0.148851,1.058625,0.121046,-0.140199,1.060806,-0.009669,0.080830,0.231608,273
0.004659,0.014398,-0.019158,-0.075432,0.002123,-0.012360,0.004149,-0.144250,1.059190,-0.035386,0.008260,-0.015761,-0.110234,-0.148371,1.057987,0.118532,-0.140128,1.060394,-0.004973,0.075432,0.228927,274
0.007335,0.002141,-0.034211,-0.065443,-0.000607,0.008647,0.003180,-0.144224,1.058764,-0.029054,0.000767,-0.012782,-0.109990,-0.148300,1.056846,0.116350,-0.140149,1.060682,-0.006827,0.065267,0.226519,275
0.001815,-0.002844,-0.028024,-0.054063,0.009278,0.025982,0.002310,-0.144117,1.058730,-0.026124,0.003217,-0.001019,-0.109929,-0.148395,1.055912,0.114548,-0.139839,1.061548,-0.001002,0.053002,0.224711,276
-0.002502,-0.005175,-0.022935,-0.054230,0.001356,0.021275,0.001364,-0.144181,1.058703,-0.028366,-0.001909,-0.000830,-0.110013,-0.148567,1.055148,0.112741,-0.139794,1.062258,0.003434,0.053429,0.223039,277
0.003608,-0.009099,-0.018768,-0.043926,-0.006525,-0.020267,0.000692,-0.144441,1.058052,-0.020159,-0.007812,-0.019519,-0.109892,-0.148871,1.054522,0.111276,-0.140012,1.061582,-0.002641,0.044775,0.221459,278
0.001204,0.022577,0.003154,-0.042163,-0.001096,0.002192,0.000009,-0.144083,1.058141,-0.020480,0.010740,0.002675,-0.109852,-0.148118,1.054627,0.109871,-0.140048,1.061655,-0.002132,0.042084,0.219984,279
0.002578,0.006297,0.002578,-0.040142,0.003047,0.001795,-0.000617,-0.143927,1.058214,-0.018782,0.004672,0.002185,-0.109766,-0.147908,1.054713,0.108533,-0.139947,1.061715,-0.002887,0.039926,0.218556,280
0.010359,-0.014707,-0.016412,-0.035901,0.010705,-0.035949,-0.001042,-0.143994,1.057341,-0.012771,-0.002001,-0.026182,-0.109421,-0.148398,1.054166,0.107336,-0.139590,1.060517,-0.009269,0.036474,0.217029,281
0.010417,-0.000921,-0.013440,-0.035636,0.006502,-0.010793,-0.001463,-0.143901,1.056937,-0.012610,0.002790,-0.012116,-0.109074,-0.148429,1.053718,0.106148,-0.139373,1.060157,-0.009963,0.035638,0.215509,282
0.017051,-0.011845,-0.010993,-0.032787,0.010936,-0.008833,-0.001725,-0.143916,1.056607,-0.007868,-0.000454,-0.009913,-0.108505,-0.148824,1.053352,0.105055,-0.139008,1.059862,-0.016146,0.032504,0.213885,283
0.013220,0.000029,0.028167,-0.029013,0.008618,-0.007231,-0.001988,-0.143772,1.056956,-0.007897,0.004324,0.010471,-0.108065,-0.148823,1.054291,0.104088,-0.138721,1.059621,-0.013909,0.028743,0.212460,284
0.008899,0.002254,0.041857,-0.020353,0.015730,-0.024576,-0.002179,-0.143472,1.057244,-0.005727,0.008992,0.008640,-0.107768,-0.148748,1.055686,0.103410,-0.138197,1.058802,-0.009616,0.019902,0.211464,285
-0.010732,0.018269,0.015478,-0.016722,0.004502,-0.020120,-0.002637,-0.143093,1.057167,-0.013727,0.011385,-0.002325,-0.108126,-0.148139,1.056202,0.102853,-0.138047,1.058132,0.009705,0.016671,0.211228,286
-0.007221,-0.008181,-0.005983,-0.005477,0.015268,-0.034994,-0.002848,-0.142975,1.056484,-0.006349,0.003543,-0.020485,-0.108366,-0.148412,1.056002,0.102670,-0.137538,1.056965,0.007659,0.004843,0.211319,287
-0.006375,0.001966,-0.004885,0.006193,0.019444,-0.010132,-0.002851,-0.142618,1.056233,-0.000091,0.010705,-0.007510,-0.108579,-0.148346,1.055839,0.102876,-0.136890,1.056627,0.006278,-0.007198,0.211767,288
-0.054008,0.011221,0.014652,0.028221,0.012267,0.010368,-0.003281,-0.142226,1.056650,-0.012893,0.011744,0.012510,-0.110379,-0.147972,1.056328,0.103817,-0.136481,1.056973,0.053285,-0.028869,0.214505,289
-0.130327,-0.036038,-0.006663,0.079956,-0.002194,0.065178,-0.004121,-0.142864,1.057626,-0.025185,-0.019116,0.029258,-0.114723,-0.149173,1.056106,0.106482,-0.136554,1.059146,0.132247,-0.080588,0.221586,290
-0.253736,-0.040372,0.050876,0.185293,-0.024904,0.034339,-0.005261,-0.143952,1.059046,-0.034222,-0.032638,0.042608,-0.123181,-0.150519,1.057802,0.112659,-0.137384,1.060290,0.255039,-0.183973,0.236219,291
-0.441164,-0.080386,0.022763,0.284232,-0.063347,0.144149,-0.007877,-0.146347,1.061828,-0.078466,-0.071866,0.083456,-0.137887,-0.153199,1.058560,0.122133,-0.139496,1.065095,0.444072,-0.284032,0.260463,292
-0.567731,-0.086735,0.114362,0.462294,-0.086410,0.001978,-0.009634,-0.149233,1.063767,-0.052719,-0.086573,0.058168,-0.156811,-0.156090,1.062372,0.137543,-0.142376,1.065161,0.570045,-0.457770,0.294687,293
-0.584911,-0.104658,0.113153,0.533296,-0.091496,0.020649,-0.010494,-0.152502,1.065997,-0.025808,-0.098077,0.066905,-0.176308,-0.159578,1.066144,0.155319,-0.145426,1.065849,0.588941,-0.528891,0.331930,294
-0.507823,-0.110921,0.112309,0.556137,-0.065065,0.036045,-0.009689,-0.155435,1.068469,0.024157,-0.087993,0.074176,-0.193236,-0.163276,1.069888,0.173857,-0.147595,1.067051,0.512946,-0.552558,0.367439,295
-0.414314,-0.103305,0.111755,0.510708,-0.049124,0.029522,-0.008083,-0.157976,1.070824,0.048197,-0.076215,0.070639,-0.207046,-0.166719,1.073613,0.190881,-0.149232,1.068035,0.419974,-0.507596,0.398350,296
-0.325251,-0.086206,0.071697,0.456316,-0.054659,0.043430,-0.005898,-0.160323,1.072743,0.065533,-0.070433,0.057564,-0.217888,-0.169593,1.076003,0.206091,-0.151054,1.069483,0.329769,-0.452772,0.424434,297
-0.261907,-0.063329,0.058701,0.386248,-0.044822,0.035577,-0.003826,-0.162126,1.074314,0.062171,-0.054075,0.047139,-0.226618,-0.171704,1.077960,0.218966,-0.152548,1.070669,0.265309,-0.383334,0.446056,298
-0.210586,-0.043675,0.048058,0.316938,-0.032726,0.048512,-0.002053,-0.163399,1.075924,0.053176,-0.038200,0.048287,-0.233638,-0.173160,1.079562,0.229531,-0.153639,1.072286,0.212966,-0.314479,0.463637,299
-0.166137,-0.028560,0.019680,0.258770,-0.031681,0.039715,-0.000509,-0.164403,1.076914,0.046316,-0.030120,0.029697,-0.239175,-0.174112,1.080218,0.238157,-0.154695,1.073609,0.167417,-0.256695,0.477773,300
-0.133966,-0.023405,0.016115,0.209508,-0.019518,0.032523,0.000750,-0.165119,1.077724,0.037771,-0.021462,0.024319,-0.243641,-0.174892,1.080755,0.245140,-0.155346,1.074694,0.134984,-0.208142,0.489210,301
-0.101165,-0.017302,-0.006337,0.172897,-0.013979,0.026636,0.001945,-0.165640,1.078063,0.035866,-0.015640,0.010149,-0.247013,-0.175468,1.080544,0.250904,-0.155812,1.075581,0.101700,-0.171937,0.498329,302
-0.079937,-0.018051,-0.005175,0.142654,-0.009419,0.021801,0.002990,-0.166098,1.078340,0.031359,-0.013735,0.008311,-0.249678,-0.176070,1.080371,0.255659,-0.156126,1.076308,0.080542,-0.141992,0.505746,303
-0.058675,-0.012438,-0.004245,0.124656,-0.009457,0.017853,0.004090,-0.166463,1.078566,0.032990,-0.010948,0.006802,-0.251634,-0.176485,1.080230,0.259814,-0.156441,1.076903,0.059088,-0.124071,0.511851,304
-0.045480,-0.015586,-0.003483,0.102242,-0.006015,0.014616,0.005036,-0.166823,1.078752,0.028381,-0.010800,0.005568,-0.253150,-0.177004,1.080113,0.263222,-0.156641,1.077390,0.046040,-0.101847,0.516780,305
-0.030506,-0.014417,-0.002836,0.085745,-0.008185,0.011963,0.005957,-0.167200,1.078904,0.027620,-0.011301,0.004563,-0.254166,-0.177485,1.080019,0.266080,-0.156914,1.077789,0.031039,-0.085303,0.520658,306
-0.016973,-0.012992,-0.002346,0.074399,-0.006951,0.009795,0.006914,-0.167532,1.079028,0.028713,-0.009972,0.003723,-0.254732,-0.177918,1.079941,0.268560,-0.157146,1.078116,0.017467,-0.074030,0.523708,307
-0.006272,-0.001756,-0.001892,0.064375,-0.008535,0.008022,0.007882,-0.167703,1.079130,0.029051,-0.005145,0.003068,-0.254941,-0.177976,1.079878,0.270706,-0.157430,1.078383,0.006330,-0.063969,0.526051,308
0.000935,0.008638,-0.001556,0.053153,-0.012868,0.006570,0.008784,-0.167774,1.079214,0.027044,-0.002115,0.002503,-0.254910,-0.177688,1.079826,0.272478,-0.157859,1.078602,-0.001263,-0.052617,0.527762,309
0.001411,0.004135,0.018246,0.043878,-0.012813,0.005379,0.009539,-0.167919,1.079608,0.022645,-0.004339,0.011816,-0.254863,-0.177551,1.080434,0.273940,-0.158286,1.078781,-0.001503,-0.043366,0.529157,310
0.008702,0.008896,0.014952,0.033446,-0.010971,0.004406,0.010241,-0.167953,1.079930,0.021074,-0.001038,0.009677,-0.254573,-0.177254,1.080932,0.275055,-0.158652,1.078928,-0.008952,-0.033024,0.529959,311
