h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,hand_distance,time
0.035740,0.090232,0.064201,-0.035654,0.004878,0.038577,-0.024372,-0.171763,1.001666,0.000043,0.047555,0.051391,-0.266732,-0.176712,1.009124,0.217988,-0.166815,0.994207,-0.035582,0.036717,0.485051,501
0.040589,0.130212,0.069959,-0.036677,0.027007,0.048357,-0.024307,-0.169143,1.003637,0.001956,0.078610,0.059155,-0.265379,-0.172371,1.011456,0.216765,-0.165915,0.995819,-0.040039,0.037860,0.482441,502
0.040374,0.145793,0.074766,-0.029849,0.064134,0.073396,-0.024132,-0.165644,1.006107,0.005262,0.104963,0.074083,-0.264034,-0.167512,1.013948,0.215770,-0.163777,0.998265,-0.039042,0.031731,0.480075,503
0.036427,0.155375,0.061219,-0.046292,0.035341,0.060094,-0.024296,-0.162466,1.008129,-0.004932,0.095358,0.060654,-0.262819,-0.162332,1.015989,0.214227,-0.162599,1.000268,-0.034304,0.048266,0.477306,504
0.027035,0.142703,0.067728,-0.028360,0.079118,0.066276,-0.024318,-0.158769,1.010362,-0.000663,0.110910,0.067005,-0.261918,-0.157576,1.018247,0.213282,-0.159962,1.002478,-0.024057,0.030939,0.475468,505
0.015459,0.133603,0.073171,-0.030277,0.070610,0.071425,-0.024565,-0.155365,1.012772,-0.007409,0.102106,0.072298,-0.261403,-0.153122,1.020686,0.212273,-0.157608,1.004858,-0.011742,0.033312,0.473961,506
0.001734,0.090174,0.095690,-0.028876,0.074859,0.075763,-0.025017,-0.152615,1.015630,-0.013571,0.082516,0.085723,-0.261345,-0.150116,1.023875,0.211310,-0.155113,1.007384,0.002556,0.032290,0.472969,507
-0.008313,0.064796,0.114573,-0.027292,0.063240,0.079415,-0.025611,-0.150481,1.018863,-0.017803,0.064018,0.096996,-0.261622,-0.147957,1.027694,0.210400,-0.153005,1.010031,0.013283,0.030917,0.472380,508
-0.012174,0.033452,0.130520,-0.040716,0.023147,0.082515,-0.026492,-0.149537,1.022413,-0.026445,0.028300,0.106516,-0.262028,-0.146842,1.032045,0.209043,-0.152233,1.012782,0.017878,0.044315,0.471496,509
-0.013070,0.024589,0.125384,-0.044718,0.033415,0.120728,-0.027456,-0.148571,1.026515,-0.028894,0.029002,0.123060,-0.262464,-0.146022,1.036225,0.207553,-0.151119,1.016806,0.018500,0.050023,0.470445,510
-0.012178,0.013063,0.140097,-0.044112,0.025686,0.116787,-0.028394,-0.147925,1.030797,-0.028145,0.019374,0.128438,-0.262870,-0.145587,1.040895,0.206082,-0.150263,1.020699,0.018324,0.049349,0.469410,511
-0.004466,0.011864,0.152618,-0.038527,0.051313,0.131854,-0.029110,-0.146872,1.035538,-0.021497,0.031588,0.142236,-0.263018,-0.145191,1.045982,0.204798,-0.148553,1.025094,0.011354,0.044738,0.468295,512
0.002109,0.018819,0.144085,-0.041783,0.029621,0.126250,-0.029771,-0.146064,1.040043,-0.019837,0.024220,0.135169,-0.262948,-0.144564,1.050785,0.203405,-0.147565,1.029302,0.004644,0.047737,0.466858,513
0.011282,0.004183,0.156648,-0.049532,0.026582,0.158951,-0.030409,-0.145552,1.045303,-0.019125,0.015383,0.157800,-0.262572,-0.144424,1.056006,0.201754,-0.146679,1.034600,-0.004036,0.056928,0.464825,514
0.011356,0.021584,0.187236,-0.042241,0.018966,0.167817,-0.030924,-0.144876,1.051221,-0.015442,0.020275,0.177526,-0.262194,-0.143705,1.062247,0.200346,-0.146047,1.040194,-0.002317,0.050280,0.463071,515
0.018872,0.013595,0.213472,-0.038186,0.048068,0.175570,-0.031246,-0.143848,1.057705,-0.009657,0.030832,0.194521,-0.261564,-0.143252,1.069363,0.199073,-0.144445,1.046047,-0.008021,0.047137,0.461229,516
0.025530,0.016721,0.215589,-0.042670,0.028127,0.201942,-0.031531,-0.143101,1.064664,-0.008570,0.022423,0.208765,-0.260713,-0.142694,1.076549,0.197651,-0.143507,1.052778,-0.014301,0.053121,0.458981,517
0.000663,0.027192,0.238756,-0.042482,0.052088,0.204792,-0.032228,-0.141779,1.072056,-0.020909,0.039640,0.221776,-0.260691,-0.141788,1.084508,0.196235,-0.141771,1.059605,0.012330,0.053562,0.457604,518
-0.019883,0.025876,0.237697,-0.061240,-0.023311,0.207646,-0.033580,-0.141737,1.079479,-0.040561,0.001283,0.222670,-0.261354,-0.140925,1.092431,0.194194,-0.142548,1.066526,0.033438,0.072847,0.456287,519
-0.060467,0.117369,0.237436,-0.056483,-0.005265,0.190215,-0.035529,-0.139868,1.086606,-0.058475,0.056052,0.213826,-0.263370,-0.137013,1.100346,0.192311,-0.142723,1.072867,0.076112,0.067759,0.456544,520
-0.049506,0.096091,0.194385,-0.047422,0.012773,0.155725,-0.037145,-0.138054,1.092441,-0.048464,0.054432,0.175055,-0.265020,-0.133810,1.106825,0.190730,-0.142298,1.078057,0.063428,0.057366,0.456736,521
-0.040534,0.078673,0.159159,-0.052366,0.010126,0.168296,-0.038693,-0.136574,1.097899,-0.046450,0.044399,0.163729,-0.266371,-0.131188,1.112131,0.188985,-0.141960,1.083667,0.052227,0.062984,0.456371,522
-0.033188,0.064412,0.130305,-0.041266,0.032739,0.137805,-0.039934,-0.134955,1.102367,-0.037227,0.048576,0.134053,-0.267477,-0.129040,1.116474,0.187609,-0.140869,1.088261,0.042844,0.050546,0.456113,523
-0.027171,0.052737,0.106684,-0.052134,0.019750,0.154170,-0.041256,-0.133746,1.106715,-0.039652,0.036244,0.130427,-0.268383,-0.127283,1.120030,0.185871,-0.140210,1.093400,0.034852,0.061604,0.455218,524
-0.022244,0.043177,0.087347,-0.035457,0.024750,0.126228,-0.042218,-0.132614,1.110275,-0.028851,0.033963,0.106788,-0.269124,-0.125843,1.122942,0.184689,-0.139385,1.097607,0.028352,0.043156,0.454722,525
-0.018212,0.035349,0.071511,-0.034295,0.036432,0.103354,-0.043093,-0.131418,1.113189,-0.026254,0.035891,0.087433,-0.269731,-0.124665,1.125325,0.183546,-0.138171,1.101053,0.023052,0.040839,0.454128,526
-0.014908,0.028944,0.058547,-0.029098,0.032571,0.084608,-0.043826,-0.130393,1.115575,-0.022003,0.030757,0.071576,-0.270228,-0.123700,1.127277,0.182576,-0.137085,1.103873,0.018756,0.034373,0.453607,527
