"","lookback","still_thresh","zfv","zrv","yfv","yrv","zfc","zrc","yfc","yrc","control_region_taps","canon_taps_found","frac_taps_found","total_taps_found","canon_taps"
"1",20,0.05,-0.35,0,0,0,1,1,0,0,0,7,0.137254901960784,9,51
"2",20,0.05,-0.3,0,0,0,1,1,0,0,0,18,0.352941176470588,21,51
"3",20,0.05,-0.25,0,0,0,1,1,0,0,2,33,0.647058823529412,37,51
"4",20,0.05,-0.2,0,0,0,1,1,0,0,5,42,0.823529411764706,48,51
"5",20,0.05,-0.35,0.05,0,0,1,1,0,0,0,5,0.0980392156862745,5,51
"6",20,0.05,-0.3,0.05,0,0,1,1,0,0,0,6,0.117647058823529,7,51
"7",20,0.05,-0.25,0.05,0,0,1,1,0,0,0,10,0.196078431372549,11,51
"8",20,0.05,-0.2,0.05,0,0,1,1,0,0,0,11,0.215686274509804,13,51
"9",20,0.05,-0.35,0.1,0,0,1,1,0,0,0,2,0.0392156862745098,2,51
"10",20,0.05,-0.3,0.1,0,0,1,1,0,0,0,2,0.0392156862745098,2,51
"11",20,0.05,-0.25,0.1,0,0,1,1,0,0,0,3,0.0588235294117647,3,51
"12",20,0.05,-0.2,0.1,0,0,1,1,0,0,0,4,0.0784313725490196,4,51
"13",20,0.05,-0.35,0.15,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"14",20,0.05,-0.3,0.15,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"15",20,0.05,-0.25,0.15,0,0,1,1,0,0,0,2,0.0392156862745098,2,51
"16",20,0.05,-0.2,0.15,0,0,1,1,0,0,0,3,0.0588235294117647,3,51
"17",20,0.05,-0.35,0.2,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"18",20,0.05,-0.3,0.2,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"19",20,0.05,-0.25,0.2,0,0,1,1,0,0,0,2,0.0392156862745098,2,51
"20",20,0.05,-0.2,0.2,0,0,1,1,0,0,0,3,0.0588235294117647,3,51
"21",20,0.05,-0.35,0.25,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"22",20,0.05,-0.3,0.25,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"23",20,0.05,-0.25,0.25,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"24",20,0.05,-0.2,0.25,0,0,1,1,0,0,0,2,0.0392156862745098,2,51
"25",20,0.05,-0.35,0.3,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"26",20,0.05,-0.3,0.3,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"27",20,0.05,-0.25,0.3,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"28",20,0.05,-0.2,0.3,0,0,1,1,0,0,0,1,0.0196078431372549,1,51
"29",20,0.05,-0.35,0.35,0,0,1,1,0,0,0,0,0,0,51
"30",20,0.05,-0.3,0.35,0,0,1,1,0,0,0,0,0,0,51
"31",20,0.05,-0.25,0.35,0,0,1,1,0,0,0,0,0,0,51
"32",20,0.05,-0.2,0.35,0,0,1,1,0,0,0,0,0,0,51
"33",20,0.05,-0.35,0.4,0,0,1,1,0,0,0,0,0,0,51
"34",20,0.05,-0.3,0.4,0,0,1,1,0,0,0,0,0,0,51
"35",20,0.05,-0.25,0.4,0,0,1,1,0,0,0,0,0,0,51
"36",20,0.05,-0.2,0.4,0,0,1,1,0,0,0,0,0,0,51
"37",20,0.05,-0.35,0,0,0,2,1,0,0,0,0,0,0,51
"38",20,0.05,-0.3,0,0,0,2,1,0,0,0,0,0,0,51
"39",20,0.05,-0.25,0,0,0,2,1,0,0,2,1,0.0196078431372549,4,51
"40",20,0.05,-0.2,0,0,0,2,1,0,0,4,6,0.117647058823529,12,51
"41",20,0.05,-0.35,0.05,0,0,2,1,0,0,0,0,0,0,51
