h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.286158,-0.036698,1.120455,0.236168,-0.014003,0.883360,0.000000,0
-1.556147,-0.199568,6.093119,1.284299,-0.076148,4.803782,-0.004531,-0.004595,0.181615,-0.135924,-0.137858,5.448450,-0.051872,-0.006652,0.203104,0.042810,-0.002538,0.160126,3.940288,-0.818469,-0.265327,-0.061337,1.097790,0.241175,-0.038061,0.851038,0.104061,1
-1.160786,-0.297377,4.865370,1.078722,-0.193174,3.757230,-0.005899,-0.012771,0.325325,-0.041032,-0.245276,4.311300,-0.090564,-0.016565,0.365283,0.078767,-0.008977,0.285367,3.135786,-0.635371,-0.234234,-0.083248,1.090437,0.263443,-0.063085,0.869212,0.187396,2
-0.781286,-0.362630,3.943441,1.004278,-0.294242,3.174994,-0.002182,-0.023719,0.443966,0.111496,-0.328436,3.559217,-0.116607,-0.028653,0.496731,0.112243,-0.018785,0.391200,2.373202,-0.428754,-0.208796,-0.114021,1.076023,0.286494,-0.086142,0.873877,0.252204,3
-0.501330,-0.464242,3.150235,0.947586,-0.366291,2.624837,0.005256,-0.037561,0.540217,0.223128,-0.415267,2.887537,-0.133318,-0.044127,0.601739,0.143829,-0.030995,0.478695,1.754942,-0.214681,-0.184433,-0.150375,1.051695,0.293956,-0.123763,0.873877,0.303518,4
-0.277968,-0.577781,2.446899,0.816399,-0.504481,2.149033,0.014229,-0.055599,0.616816,0.269216,-0.541131,2.297966,-0.142584,-0.063387,0.683302,0.171043,-0.047811,0.550329,1.236186,-0.110192,-0.133168,-0.192665,1.061985,0.302225,-0.170071,0.902957,0.341007,5
0.051205,-0.703024,2.059309,0.713381,-0.664861,1.917617,0.026973,-0.078397,0.683098,0.382293,-0.683942,1.988461,-0.140877,-0.086821,0.751946,0.194822,-0.069973,0.614250,0.765937,-0.098471,-0.116214,-0.220677,1.051695,0.308068,-0.203630,0.893051,0.363233,6
0.134121,-0.727922,1.630059,0.615839,-0.726836,1.516145,0.039472,-0.102643,0.735534,0.374980,-0.727379,1.573103,-0.136406,-0.111085,0.806281,0.215350,-0.094201,0.664788,0.515790,-0.026798,-0.104652,-0.244518,1.034981,0.291850,-0.226705,0.880970,0.379523,7
0.172684,-0.725617,1.243690,0.416010,-0.720568,1.175616,0.049283,-0.126746,0.775856,0.294347,-0.723092,1.209653,-0.130650,-0.135272,0.847737,0.229217,-0.118220,0.703975,0.332630,-0.081434,-0.103427,-0.247289,1.034981,0.288739,-0.231368,0.876229,0.387895,8
0.148041,-0.609155,1.018242,0.323684,-0.615308,0.936731,0.057146,-0.147154,0.808439,0.235863,-0.612232,0.977486,-0.125716,-0.155577,0.881679,0.240007,-0.138730,0.735200,0.266966,-0.074049,-0.103974,-0.247367,1.034981,0.286907,-0.229085,0.876229,0.394326,9
0.118232,-0.499157,0.833672,0.255049,-0.491356,0.766929,0.063367,-0.163662,0.835116,0.186641,-0.495256,0.800300,-0.121774,-0.172216,0.909468,0.248508,-0.155109,0.760764,0.222162,-0.070133,-0.103621,-0.245572,1.034981,0.285269,-0.227430,0.876229,0.399393,10
0.098718,-0.398916,0.682547,0.199908,-0.393286,0.627909,0.068344,-0.176866,0.856957,0.149313,-0.396101,0.655228,-0.118484,-0.185513,0.932219,0.255172,-0.168218,0.781694,0.180437,-0.066024,-0.102535,-0.245694,1.034981,0.285806,-0.227038,0.876229,0.403207,11
0.086730,-0.327270,0.558826,0.166592,-0.319863,0.514085,0.072566,-0.187651,0.874839,0.126661,-0.323566,0.536456,-0.115593,-0.196422,0.950847,0.260725,-0.178880,0.798830,0.142904,-0.051863,-0.101325,-0.245919,1.034981,0.285541,-0.226779,0.876229,0.406241,12
0.077591,-0.269168,0.457531,0.134950,-0.260474,0.420907,0.076108,-0.196479,0.889479,0.106270,-0.264821,0.439219,-0.113007,-0.205394,0.966098,0.265223,-0.187563,0.812860,0.111543,-0.044313,-0.102370,-0.244876,1.034981,0.285322,-0.226259,0.873877,0.408482,13
0.057841,-0.214708,0.374588,0.109297,-0.210431,0.331813,0.078894,-0.203564,0.901253,0.083569,-0.212570,0.353200,-0.111078,-0.212551,0.978584,0.268866,-0.194577,0.823921,0.096972,-0.033059,-0.101615,-0.244852,1.034981,0.284485,-0.225131,0.873877,0.410612,14
0.051465,-0.175655,0.306693,0.084935,-0.166155,0.271667,0.081167,-0.209261,0.910892,0.068200,-0.170905,0.289180,-0.109363,-0.218406,0.988807,0.271698,-0.200116,0.832976,0.076180,-0.031565,-0.100150,-0.247661,1.034981,0.283785,-0.223201,0.873877,0.412098,15
0.050100,-0.159091,0.251096,0.065729,-0.125541,0.222423,0.083098,-0.214005,0.918784,0.057915,-0.142316,0.236760,-0.107693,-0.223709,0.997177,0.273889,-0.204300,0.840391,0.056512,-0.029609,-0.099056,-0.248498,1.034981,0.284386,-0.222829,0.873877,0.412993,16
0.046970,-0.134802,0.205581,0.057091,-0.100760,0.182106,0.084832,-0.217931,0.925245,0.052031,-0.117781,0.193841,-0.106127,-0.228203,1.004030,0.275792,-0.207659,0.846461,0.041637,-0.021661,-0.098647,-0.249324,1.034981,0.284447,-0.223300,0.873877,0.413657,17
0.040680,-0.114860,0.168314,0.047069,-0.085057,0.149093,0.086295,-0.221263,0.930535,0.043875,-0.099958,0.158705,-0.104771,-0.232031,1.009640,0.277361,-0.210494,0.851431,0.032736,-0.017948,-0.098224,-0.249336,1.034981,0.284492,-0.220928,0.873877,0.414148,18
0.035604,-0.094102,0.137801,0.038780,-0.056741,0.122060,0.087534,-0.223777,0.934866,0.037192,-0.075421,0.129930,-0.103584,-0.235168,1.014234,0.278653,-0.212386,0.855499,0.025110,-0.014100,-0.096472,-0.249061,1.034981,0.284761,-0.221125,0.873877,0.414513,19
0.038680,-0.075550,0.112824,0.033216,-0.047522,0.099943,0.088733,-0.225828,0.938413,0.035948,-0.061536,0.106384,-0.102295,-0.237687,1.017995,0.279761,-0.213970,0.858831,0.011992,-0.010478,-0.097360,-0.247982,1.038281,0.283867,-0.218969,0.873877,0.414563,20
0.026836,-0.055984,0.110325,0.022330,-0.027183,0.081829,0.089552,-0.227214,0.941615,0.024583,-0.041583,0.096077,-0.101401,-0.239553,1.021672,0.280505,-0.214876,0.861558,0.021206,-0.012642,-0.098097,-0.246034,1.038281,0.284108,-0.219518,0.871538,0.414846,21
0.017966,-0.035247,0.090319,0.019597,-0.025245,0.054272,0.090178,-0.228222,0.944025,0.018781,-0.030246,0.072296,-0.100802,-0.240728,1.024683,0.281158,-0.215717,0.863367,0.020678,-0.004576,-0.097758,-0.246798,1.038281,0.283552,-0.219633,0.871538,0.415381,22
0.016552,-0.033013,0.073950,0.013016,-0.021291,0.044435,0.090671,-0.229128,0.945998,0.014784,-0.027152,0.059193,-0.100250,-0.241828,1.027148,0.281592,-0.216427,0.864848,0.015686,-0.006694,-0.100423,-0.246829,1.038281,0.283943,-0.219975,0.871538,0.415680,23
-0.000939,-0.027194,0.060543,0.012785,-0.019293,0.036380,0.090868,-0.229902,0.947613,0.005923,-0.023244,0.048462,-0.100281,-0.242734,1.029166,0.282018,-0.217070,0.866061,0.026251,-0.003701,-0.101247,-0.245811,1.038281,0.282236,-0.219157,0.871538,0.416431,24
-0.005253,-0.016729,0.049571,0.001186,-0.011351,0.029787,0.090801,-0.230370,0.948936,-0.002034,-0.014040,0.039679,-0.100456,-0.243292,1.030818,0.282058,-0.217449,0.867054,0.025329,-0.011317,-0.101480,-0.245983,1.041603,0.282519,-0.218874,0.869212,0.416898,25
-0.005568,-0.014632,0.058651,0.002509,-0.007752,0.011732,0.090750,-0.230743,0.950109,-0.001530,-0.011192,0.035191,-0.100642,-0.243780,1.032773,0.282141,-0.217707,0.867445,0.029225,-0.002828,-0.103387,-0.245161,1.041603,0.282818,-0.217870,0.869212,0.417775,26
-0.014927,-0.007512,0.048008,0.003680,-0.000885,0.009617,0.090562,-0.230883,0.951070,-0.005623,-0.004199,0.028812,-0.101140,-0.244030,1.034373,0.282264,-0.217736,0.867766,0.033230,-0.000512,-0.106734,-0.245672,1.041603,0.285014,-0.217832,0.869212,0.418865,27
-0.030421,-0.008929,0.039307,0.014958,-0.000521,0.007866,0.090304,-0.231041,0.951856,-0.007732,-0.004724,0.023587,-0.102154,-0.244328,1.035684,0.282763,-0.217754,0.868028,0.044064,0.010518,-0.110988,-0.244702,1.044945,0.288112,-0.218138,0.864596,0.420684,28
-0.048042,-0.002036,0.050368,0.029091,-0.002086,-0.018666,0.089989,-0.231110,0.952384,-0.009476,-0.002061,0.015850,-0.103755,-0.244396,1.037363,0.283732,-0.217823,0.867406,0.064229,0.033941,-0.117988,-0.245875,1.048309,0.294003,-0.219700,0.860029,0.423955,29
-0.077403,-0.008044,0.059531,0.055853,-0.010205,-0.040112,0.089629,-0.231414,0.952708,-0.010775,-0.009124,0.009710,-0.106335,-0.244664,1.039347,0.285594,-0.218164,0.866069,0.095180,0.066544,-0.128880,-0.244949,1.051695,0.300857,-0.215426,0.853268,0.429344,30
-0.122599,-0.001553,0.067145,0.082997,0.014882,-0.069614,0.088969,-0.231192,0.952667,-0.019801,0.006664,-0.001234,-0.110422,-0.244716,1.041585,0.288361,-0.217667,0.863748,0.139146,0.104875,-0.140080,-0.242828,1.058533,0.306962,-0.214459,0.846612,0.437476,31
-0.161286,0.010267,0.092171,0.101156,0.017450,-0.093185,0.087967,-0.230730,0.952650,-0.030065,0.013859,-0.000508,-0.115798,-0.244373,1.044657,0.291732,-0.217086,0.860642,0.183958,0.131362,-0.152937,-0.239961,1.065460,0.315286,-0.210341,0.840060,0.447981,32
