h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.997687,-0.939618,2.437052,0.999127,-0.936162,2.315728,0.000000,0
5.425500,-5.109717,13.252874,5.433331,-5.090920,12.593108,0.180981,-0.170011,0.430766,5.429416,-5.100319,12.922991,0.180850,-0.170324,0.441762,0.181111,-0.169697,0.419770,13.327701,-12.667627,1.010601,-0.936656,2.349142,1.008925,-0.934452,2.299376,0.022003,1
4.512248,-4.167372,10.372475,4.501716,-4.158793,10.221438,0.331213,-0.308780,0.773998,4.506981,-4.163083,10.296957,0.331258,-0.309236,0.787512,0.331168,-0.308324,0.760485,10.522158,-10.370873,1.010109,-0.936735,2.315728,1.005211,-0.934152,2.299376,0.027042,2
3.691642,-3.412386,8.310558,3.665498,-3.403302,8.368605,0.453832,-0.422375,1.051984,3.678571,-3.407844,8.339581,0.454313,-0.422982,1.064530,0.453351,-0.421767,1.039438,8.600903,-8.657407,1.001396,-0.936248,2.315728,1.001807,-0.938396,2.315728,0.025140,3
2.975077,-2.791177,6.804110,2.982545,-2.809466,6.940559,0.553126,-0.515719,1.281062,2.978811,-2.800323,6.872334,0.553482,-0.516022,1.291334,0.552770,-0.515416,1.270790,6.982343,-7.119480,0.994866,-0.936861,2.315728,0.995211,-0.938777,2.315728,0.020565,4
2.400282,-2.288556,5.570734,2.406029,-2.302269,5.682456,0.633231,-0.592233,1.468615,2.403156,-2.295411,5.626595,0.633492,-0.592307,1.477025,0.632971,-0.592158,1.460206,5.662351,-5.774331,1.015600,-0.940953,2.315728,1.015600,-0.940953,2.315728,0.016828,5
2.077934,-1.895962,4.560935,2.080768,-1.896772,4.652399,0.702543,-0.655445,1.622171,2.079350,-1.896366,4.606669,0.702756,-0.655506,1.629056,0.702330,-0.655384,1.615286,4.639633,-4.731126,1.010234,-0.941332,2.315728,1.010234,-0.941332,2.315728,0.013778,6
1.672087,-1.554344,3.734168,1.674408,-1.555004,3.809059,0.758318,-0.707267,1.747891,1.673248,-1.554675,3.771611,0.758492,-0.707317,1.753528,0.758143,-0.707218,1.742254,3.797706,-3.872636,1.002372,-0.932185,2.299376,1.002372,-0.932185,2.299376,0.011280,7
1.326234,-1.222846,2.968358,1.328132,-1.223390,3.029666,0.802557,-0.748038,1.847858,1.327184,-1.223118,2.999014,0.802700,-0.748079,1.852474,0.802414,-0.747997,1.843243,3.018652,-3.080006,0.996403,-0.938640,2.315728,0.996403,-0.938640,2.315728,0.009236,8
1.053371,-1.036293,2.519213,1.054929,-1.036733,2.569410,0.837696,-0.782588,1.932669,1.054149,-1.036513,2.544308,0.837813,-0.782622,1.936448,0.837579,-0.782555,1.928890,2.559656,-2.609880,1.013769,-0.939371,2.315728,1.013769,-0.939371,2.315728,0.007561,9
0.956864,-0.852410,2.062551,0.958135,-0.852773,2.103660,0.869612,-0.811008,2.002106,0.957500,-0.852592,2.083111,0.869708,-0.811035,2.005199,0.869516,-0.810981,1.999012,2.098613,-2.139775,0.993111,-0.937909,2.315728,0.993111,-0.937909,2.315728,0.006190,10
0.671078,-0.689946,1.688690,0.672120,-0.690243,1.722322,0.891999,-0.834011,2.058956,0.671598,-0.690093,1.705499,0.892077,-0.834034,2.061489,0.891920,-0.833989,2.056423,1.714685,-1.748320,1.010438,-0.939274,2.315728,1.010438,-0.939274,2.315728,0.005069,11
0.643653,-0.572303,1.382575,0.644506,-0.572546,1.410127,0.913468,-0.853092,2.105501,0.644079,-0.572426,1.396351,0.913532,-0.853110,2.107575,0.913404,-0.853074,2.103427,1.406835,-1.434403,1.006279,-0.939778,2.315728,1.006279,-0.939778,2.315728,0.004150,12
0.504361,-0.471307,1.131949,0.505058,-0.471506,1.154509,0.930292,-0.868806,2.143609,0.504709,-0.471405,1.143236,0.930344,-0.868821,2.145306,0.930239,-0.868791,2.141911,1.151156,-1.173708,1.007946,-0.945491,2.332315,1.007946,-0.945491,2.332315,0.003398,13
0.422003,-0.416942,1.016965,0.422577,-0.417103,1.035426,0.944368,-0.882706,2.177815,0.422291,-0.417023,1.026192,0.944411,-0.882719,2.179205,0.944325,-0.882694,2.176425,1.033193,-1.051663,1.002188,-0.938480,2.315728,1.002188,-0.938480,2.315728,0.002782,14
0.314198,-0.303234,0.742428,0.314664,-0.303370,0.757549,0.954849,-0.892816,2.202815,0.314430,-0.303302,0.749989,0.954884,-0.892826,2.203953,0.954814,-0.892806,2.201676,0.754461,-0.769574,1.000691,-0.937465,2.315728,1.000691,-0.937465,2.315728,0.002278,15
0.249104,-0.242751,0.607846,0.249485,-0.242860,0.620227,0.963159,-0.900910,2.223282,0.249295,-0.242804,0.614033,0.963188,-0.900918,2.224214,0.963130,-0.900902,2.222351,0.617409,-0.629784,1.007870,-0.938863,2.315728,1.007870,-0.938863,2.315728,0.001865,16
0.242983,-0.206346,0.497653,0.243298,-0.206437,0.507782,0.971264,-0.907790,2.240040,0.243140,-0.206392,0.502725,0.971287,-0.907796,2.240803,0.971240,-0.907783,2.239277,0.506748,-0.516879,1.015732,-0.939311,2.315728,1.015732,-0.939311,2.315728,0.001527,17
0.241692,-0.171377,0.407453,0.241948,-0.171452,0.415764,0.979324,-0.913503,2.253760,0.241821,-0.171415,0.411601,0.979344,-0.913509,2.254385,0.979305,-0.913498,2.253135,0.416236,-0.424577,1.007627,-0.939233,2.315728,1.007627,-0.939233,2.315728,0.001250,18
0.153807,-0.139892,0.333588,0.154018,-0.139951,0.340383,0.984455,-0.918167,2.264993,0.153912,-0.139920,0.336986,0.984471,-0.918172,2.265504,0.984439,-0.918163,2.264482,0.339419,-0.346221,1.012335,-0.940777,2.315728,1.012335,-0.940777,2.315728,0.001023,19
0.151520,-0.122933,0.273120,0.151699,-0.122979,0.278671,0.989508,-0.922266,2.274189,0.151609,-0.122956,0.275903,0.989521,-0.922270,2.274608,0.989495,-0.922262,2.273771,0.278740,-0.284293,1.019099,-0.940980,2.315728,1.019099,-0.940980,2.315728,0.000838,20
0.160848,-0.101749,0.223618,0.160988,-0.101793,0.228167,0.994872,-0.925658,2.281719,0.160918,-0.101772,0.225892,0.994883,-0.925661,2.282062,0.994862,-0.925655,2.281376,0.229334,-0.233909,1.007783,-0.945422,2.332315,1.007783,-0.945422,2.332315,0.000686,21
0.070150,-0.107458,0.273271,0.070265,-0.107487,0.277011,0.997213,-0.929241,2.290890,0.070206,-0.107473,0.275137,0.997221,-0.929243,2.291171,0.997204,-0.929238,2.290610,0.276261,-0.279990,1.007847,-0.939414,2.315728,1.007847,-0.939414,2.315728,0.000562,22
0.057786,-0.055309,0.133545,0.057882,-0.055338,0.136592,0.999140,-0.931085,2.295393,0.057836,-0.055323,0.135069,0.999147,-0.931087,2.295623,0.999133,-0.931083,2.295163,0.135733,-0.138795,0.979868,-0.945328,2.349142,0.979868,-0.945328,2.349142,0.000460,23
